gene,gene_name,log2fold,p.val,p.adj,pairwise analysis
TRINITY_DN1168_c5_g1_i1,AP1S3,0.624220997,0.000121658,0.02172287,C-LCvsHW-LC
TRINITY_DN13187_c0_g2_i5,commd2,-0.643658686,1.47E-05,0.004331417,C-LCvsHW-LC
TRINITY_DN7860_c0_g2_i1,cplx2,-0.3442596,0.000225262,0.03084997,C-LCvsHW-LC
TRINITY_DN7832_c0_g1_i2,cry3a,0.7994477,3.54E-05,0.008003167,C-LCvsHW-LC
TRINITY_DN254_c0_g1_i7,ctdsp2,-0.519776657,0.000200171,0.02881237,C-LCvsHW-LC
TRINITY_DN3468_c0_g1_i1,dnajb1b,0.717361745,1.81E-06,0.000729281,C-LCvsHW-LC
TRINITY_DN1509_c0_g1_i3,dnajc19,0.345017491,0.000115389,0.021138593,C-LCvsHW-LC
TRINITY_DN867_c1_g1_i2,fam168a,-0.3963763,1.33E-07,8.94E-05,C-LCvsHW-LC
TRINITY_DN3008_c0_g1_i1,gatm,-1.14269915,1.01E-06,0.000433647,C-LCvsHW-LC
TRINITY_DN499_c1_g1_i1,h2az2a,-0.289784627,0.000149342,0.02421402,C-LCvsHW-LC
TRINITY_DN17234_c0_g1_i1,hmgb1b,-1.532342849,4.00E-07,0.000201745,C-LCvsHW-LC
TRINITY_DN7866_c2_g2_i1,hsp90aa1.2,0.596659,3.55E-07,0.000190099,C-LCvsHW-LC
TRINITY_DN101752_c0_g1_i1,jun,0.612344723,2.56E-06,0.001001601,C-LCvsHW-LC
TRINITY_DN4968_c0_g1_i2,kazna,-0.358738388,1.14E-05,0.003663186,C-LCvsHW-LC
TRINITY_DN2927_c0_g1_i2,klf11a,-0.75685513,3.57E-05,0.008003167,C-LCvsHW-LC
TRINITY_DN33_c0_g3_i1,lrrc32,-0.720683252,6.95E-05,0.013616424,C-LCvsHW-LC
TRINITY_DN9731_c0_g1_i3,napab,-0.9629072,3.49E-05,0.008003167,C-LCvsHW-LC
TRINITY_DN10441_c0_g1_i1,nrsn1l,0.62053253,1.63E-05,0.004505345,C-LCvsHW-LC
TRINITY_DN2863_c2_g2_i1,pex19,-0.315625569,4.36E-05,0.00917003,C-LCvsHW-LC
TRINITY_DN2942_c0_g3_i3,pwwp2a,0.47258088,0.000115067,0.021138593,C-LCvsHW-LC
TRINITY_DN18753_c0_g1_i1,rbfox2,-0.430838716,0.0003347,0.04253404,C-LCvsHW-LC
TRINITY_DN101970_c0_g1_i1,RERG,-0.424596315,0.000105793,0.019897457,C-LCvsHW-LC
TRINITY_DN83_c0_g3_i1,SEC61A1,0.4109456,0.000199266,0.02881237,C-LCvsHW-LC
TRINITY_DN10251_c0_g1_i1,serbp1a,-0.215676843,0.000346924,0.043251798,C-LCvsHW-LC
TRINITY_DN2988_c0_g1_i2,SERF2,0.885399363,2.03E-05,0.005198323,C-LCvsHW-LC
TRINITY_DN1769_c2_g1_i6,slc5a5,-0.898785621,0.000156879,0.024317995,C-LCvsHW-LC
TRINITY_DN9511_c0_g2_i1,smu1b,0.8160652,1.83E-05,0.004871605,C-LCvsHW-LC
TRINITY_DN5896_c1_g1_i1,strn3,-0.594238,3.26E-05,0.007938844,C-LCvsHW-LC
TRINITY_DN101547_c0_g1_i1,sugt1,0.345512164,4.34E-05,0.00917003,C-LCvsHW-LC
TRINITY_DN1698_c1_g4_i1,tpm4a,0.600739749,0.000402805,0.047747606,C-LCvsHW-LC
TRINITY_DN1412_c0_g1_i2,TUBA4A,-0.40892151,0.000310026,0.039756561,C-LCvsHW-LC
TRINITY_DN343_c0_g1_i1,ypel2a,0.396797329,2.44E-08,2.15E-05,C-LCvsHW-LC
TRINITY_DN1740_c0_g1_i1,ypel5,0.400659367,0.000153633,0.024241409,C-LCvsHW-LC
TRINITY_DN18047_c0_g1_i1,znf536,1.016712601,0.00034991,0.043251798,C-LCvsHW-LC
TRINITY_DN9848_c1_g1_i1,rsl24d1,-0.1721479,0.005179267,0.1875869,C-HCvsHW-HC
